City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Kutum,SD,2022-12-10 22:04:04,14.2,24.6667,58.05,22,0,7.61
169,Sinnamary,GF,2022-12-10 22:04:05,5.3833,-52.95,77.86,84,84,7.29
170,Baykit,RU,2022-12-10 22:04:05,61.67,96.37,-21.44,99,97,4.0
171,Katangli,RU,2022-12-10 22:04:06,51.7102,143.2326,0.23,87,100,3.56
172,Castro,BR,2022-12-10 22:04:06,-24.7911,-50.0119,70.14,83,70,4.99
173,Kodiak,US,2022-12-10 22:04:08,57.79,-152.4072,31.51,59,75,0.0
174,Butaritari,KI,2022-12-10 21:59:38,3.0707,172.7902,81.75,78,80,15.05
175,Quibor,VE,2022-12-10 22:04:08,9.9287,-69.6201,74.55,76,89,5.14
176,Anshun,CN,2022-12-10 22:04:09,26.25,105.9333,39.83,80,100,9.04
177,Cabo San Lucas,MX,2022-12-10 22:04:10,22.8909,-109.9124,82.62,57,0,6.91
178,Port Macquarie,AU,2022-12-10 22:01:53,-31.4333,152.9167,73.89,68,37,7.14
179,Ciudad Bolivar,VE,2022-12-10 22:04:10,8.1222,-63.5497,83.73,56,100,9.51
180,Nikel,RU,2022-12-10 22:04:12,69.4128,30.222,10.58,94,96,4.09
181,Bintulu,MY,2022-12-10 22:04:13,3.1667,113.0333,74.86,92,95,3.24
182,Kasongo-Lunda,CD,2022-12-10 22:04:13,-6.4667,16.8167,69.57,94,74,1.12
183,Georgetown,MY,2022-12-10 22:04:13,5.4112,100.3354,78.24,90,20,0.0
184,Ancud,CL,2022-12-10 22:04:14,-41.8697,-73.8203,59.16,79,16,11.95
185,Victoria,HK,2022-12-10 22:01:16,22.2855,114.1577,62.26,71,2,5.99
186,Lompoc,US,2022-12-10 22:05:15,34.6391,-120.4579,59.77,90,100,16.11
187,Tazovskiy,RU,2022-12-10 22:05:15,67.4667,78.7,-19.1,99,28,5.61
188,Padang,ID,2022-12-10 22:05:02,-0.9492,100.3543,75.47,97,100,9.46
189,Olafsvik,IS,2022-12-10 22:05:16,64.8945,-23.7142,33.46,64,0,8.68
190,Basoko,CD,2022-12-10 22:05:16,1.2391,23.616,72.55,85,37,3.76
191,Roald,NO,2022-12-10 22:05:17,62.5833,6.1333,26.76,73,0,10.36
192,Comarapa,BO,2022-12-10 22:05:17,-17.9,-64.4833,65.39,80,73,6.02
193,Norman Wells,CA,2022-12-10 22:05:17,65.282,-126.8329,-9.87,96,100,3.33
194,Ixtapa,MX,2022-12-10 22:00:32,20.7,-105.2,82.22,73,4,4.0
195,Tessalit,ML,2022-12-10 22:03:52,20.1986,1.0114,70.56,13,0,10.18
196,Bolshoy Lug,RU,2022-12-10 22:05:18,52.0779,104.0919,-5.62,95,100,1.36
197,Shelburne,CA,2022-12-10 22:05:19,44.0787,-80.2041,24.3,86,100,11.92
198,Ambilobe,MG,2022-12-10 22:05:19,-13.2,49.05,73.72,89,1,3.2
199,Nikolskoye,RU,2022-12-10 22:05:20,59.7035,30.7861,24.69,100,99,2.82
200,Sumbe,AO,2022-12-10 22:05:20,-11.2061,13.8437,76.21,88,100,5.32
201,Emerald,AU,2022-12-10 22:05:21,-23.5333,148.1667,76.33,76,58,14.34
202,Epernay,FR,2022-12-10 22:05:21,49.05,3.95,32.14,91,80,3.78
203,Anadyr,RU,2022-12-10 22:01:00,64.75,177.4833,16.39,93,100,21.25
204,Linda,US,2022-12-10 22:05:22,39.1277,-121.5508,55.81,92,100,28.77
205,Nampula,MZ,2022-12-10 22:00:23,-15.1165,39.2666,71.82,90,100,2.13
206,Huarmey,PE,2022-12-10 22:02:43,-10.0681,-78.1522,70.29,77,91,8.23
207,Santa Maria,BR,2022-12-10 22:05:03,-29.6842,-53.8069,84.56,29,100,3.69
208,Klaksvik,FO,2022-12-10 22:02:06,62.2266,-6.589,38.32,69,95,26.57
209,Port Hardy,CA,2022-12-10 22:05:23,50.6996,-127.4199,40.91,84,98,5.64
210,Saint Anthony,US,2022-12-10 22:05:23,45.0205,-93.218,34.92,90,100,4.61
211,Havoysund,NO,2022-12-10 22:00:57,70.9963,24.6622,25.03,84,40,12.66
